0,23,10,48,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,31,14,7,33,3,24,1,27,46,37,20,6,35,8,19,45,38,16,12,18,4,13,17,49,5,28,25,42
1,33,3,24,14,7,31,27,46,37,20,6,35,8,19,45,38,16,23,0,10,48,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,4,13,17,49,5,28,25,42,12,18
2,15,36,41,34,30,43,26,22,21,29,32,44,47,11,12,18,0,23,10,48,38,16,20,6,35,8,19,45,24,3,33,7,14,27,31,46,37,40,9,39,4,13,17,49,5,28,25,42,1
3,24,33,7,14,27,31,46,37,20,6,35,8,19,45,1,42,25,28,5,13,4,17,49,26,22,21,29,32,44,47,11,12,18,0,23,10,48,38,16,40,9,39,2,15,36,41,34,30,43
4,13,17,49,26,22,21,29,32,44,47,11,12,18,0,23,10,48,38,16,20,6,35,8,19,45,24,3,33,7,14,27,31,46,37,40,9,39,2,15,36,41,34,30,43,5,28,25,42,1
5,28,25,42,13,4,17,49,26,22,21,29,32,44,47,11,12,18,0,23,10,48,38,16,20,6,35,8,19,45,24,3,33,7,14,27,31,46,37,40,9,39,2,15,36,41,34,30,43,1
6,20,37,46,31,14,7,33,3,24,1,27,35,8,19,45,38,16,23,0,10,48,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,4,13,17,49,5,28,25,42,12,18
7,33,3,24,14,27,31,46,37,20,6,35,8,19,45,1,42,25,28,5,13,4,17,49,26,22,21,29,32,44,47,11,12,18,0,23,10,48,38,16,40,9,39,2,15,36,41,34,30,43
8,19,35,6,20,37,46,31,14,7,33,3,24,1,27,45,38,16,23,0,10,48,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,4,13,17,49,5,28,25,42,12,18
9,40,31,14,7,33,3,24,1,27,46,37,20,6,35,8,19,45,38,16,23,0,10,48,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,4,13,17,49,5,28,25,42,12,18
10,48,0,23,38,16,20,6,35,8,19,45,24,3,33,7,14,27,31,46,37,40,9,39,21,22,26,49,17,13,4,42,25,28,5,1,32,29,44,47,11,12,18,36,15,2,41,34,30,43
11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,31,14,7,33,3,24,1,27,46,37,20,6,35,8,19,45,38,16,23,0,10,48,12,18,4,13,17,49,5,28,25,42
12,18,0,23,10,48,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,31,14,7,33,3,24,1,27,46,37,20,6,35,8,19,45,38,16,4,13,17,49,5,28,25,42
13,4,17,49,26,22,21,29,32,44,47,11,12,18,0,23,10,48,38,16,20,6,35,8,19,45,24,3,33,7,14,27,31,46,37,40,9,39,2,15,36,41,34,30,43,5,28,25,42,1
14,7,33,3,24,1,31,27,46,37,20,6,35,8,19,45,38,16,23,0,10,48,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,4,13,17,49,5,28,25,42,12,18
15,36,2,41,34,30,43,26,22,21,29,32,44,47,11,12,18,0,23,10,48,38,16,20,6,35,8,19,45,24,3,33,7,14,27,31,46,37,40,9,39,4,13,17,49,5,28,25,42,1
16,38,20,6,35,8,19,45,24,3,33,7,14,27,31,46,37,48,10,0,23,12,18,11,47,44,32,29,2,15,36,41,34,30,43,26,22,21,39,9,40,4,13,17,49,5,28,25,42,1
